date,SPY,QQQ,IWM,EFA,EEM,XLK,XLF,XLE,XLV,XLY,XLP,XLI,XLU,TLT,IEF,LQD,HYG,SHY,GLD,SLV,DBC,VNQ
2016-05-01,177.81973266601562,102.68878936767578,100.90265655517578,42.605674743652344,26.39426040649414,19.7932071685791,15.94790267944336,22.12847328186035,60.11088562011719,35.581153869628906,40.02198791503906,46.82279586791992,17.763757705688477,97.91858673095703,86.90504455566406,83.50606536865234,48.80486297607422,69.27640533447266,116.05999755859375,15.1899995803833,12.43638801574707,55.78122329711914
2016-06-01,178.43783569335938,100.3495101928711,100.88511657714844,41.57487487792969,27.59760093688965,19.520496368408203,15.432358741760254,22.730518341064453,60.657379150390625,35.175689697265625,42.166595458984375,47.15671920776367,19.118791580200195,104.7084732055664,89.58833312988281,86.09002685546875,49.679996490478516,69.69383239746094,126.47000122070312,17.860000610351562,12.977466583251953,59.64599609375
2016-07-01,184.9456787109375,107.52534484863281,106.81199645996094,43.22834014892578,29.0835018157959,20.906787872314453,15.96567153930664,22.444063186645508,63.60946273803711,36.779911041259766,41.8225212097168,48.865848541259766,18.99125862121582,106.90995025634766,89.80911254882812,87.20188903808594,50.332340240478516,69.66106414794922,128.97999572753906,19.350000381469727,12.072848320007324,62.18870162963867
2016-08-01,185.16717529296875,108.6543960571289,108.71764373779297,43.45922088623047,29.340524673461914,21.14983367919922,16.579988479614258,22.820457458496094,61.5455207824707,36.30225372314453,41.577850341796875,49.32891082763672,17.93821144104004,105.8264389038086,88.90076446533203,87.35914611816406,51.32267379760742,69.49832916259766,124.77999877929688,17.719999313354492,12.165846824645996,59.847801208496094
2016-09-01,185.1779022216797,111.0595474243164,109.88507080078125,44.0401725769043,30.07946014404297,21.5943546295166,16.115455627441406,23.662118911743164,61.23188400268555,36.2054443359375,40.93524932861328,49.420745849609375,18.00298309326172,104.23016357421875,89.11186981201172,87.08345031738281,51.876163482666016,69.58837127685547,125.63999938964844,18.200000762939453,12.690019607543945,58.751033782958984
2016-10-01,181.9674835205078,109.441162109375,104.83360290527344,43.06447219848633,29.830474853515625,21.431655883789062,16.482858657836914,22.995254516601562,57.198429107666016,35.327911376953125,40.619834899902344,48.4302864074707,18.164670944213867,99.66419982910156,87.77991485595703,85.75232696533203,51.36619186401367,69.55476379394531,121.94000244140625,16.969999313354492,12.647747039794922,55.37799072265625
2016-11-01,188.6708221435547,109.91828155517578,116.43167114257812,42.297332763671875,28.513242721557617,21.467809677124023,18.795799255371094,24.942245483398438,58.37875747680664,37.02418518066406,38.91196823120117,52.83226776123047,17.179821014404297,91.47809600830078,84.06925964355469,83.03605651855469,51.37580871582031,69.22785949707031,111.75,15.65999984741211,12.85910701751709,54.450050354003906
2016-12-01,192.49554443359375,111.16278839111328,119.79003143310547,43.44200897216797,28.441194534301758,21.95294952392578,19.50185775756836,25.37392234802246,58.79690170288086,37.03865432739258,40.0779914855957,52.993988037109375,18.02142333984375,91.05492401123047,83.96963500976562,83.7328872680664,52.320526123046875,69.2779541015625,109.61000061035156,15.109999656677246,13.391731262207031,57.07296371459961
2017-01-01,195.94021606445312,116.87664794921875,120.12760925292969,44.871768951416016,30.33402442932129,22.733745574951172,19.552181243896484,24.55867576599121,60.14442825317383,38.599365234375,40.760032653808594,53.981971740722656,18.247760772705078,91.79629516601562,84.15388488769531,83.8543930053711,52.79808044433594,69.35179138183594,115.55000305175781,16.6299991607666,13.315643310546875,56.962318420410156
2017-02-01,203.63897705078125,121.99009704589844,122.44615173339844,45.406044006347656,30.862064361572266,23.764202117919922,20.58389663696289,24.04661750793457,63.9567756652832,39.30009841918945,42.70541763305664,56.094242095947266,19.208755493164062,93.25090026855469,84.7628402709961,84.96208190917969,53.60681915283203,69.37725067138672,119.2300033569336,17.3700008392334,13.290278434753418,58.96087646484375
2017-03-01,203.89349365234375,124.4626693725586,122.47802734375,46.873416900634766,31.999385833740234,24.2932071685791,19.975412368774414,23.689285278320312,63.649391174316406,40.138736724853516,42.52491760253906,55.664798736572266,19.18276596069336,92.63996887207031,84.83111572265625,84.71135711669922,53.53000259399414,69.421630859375,118.72000122070312,17.25,12.85910701751709,57.53186798095703
2017-04-01,205.9174041748047,127.85675811767578,123.88558197021484,48.00970458984375,32.54368209838867,24.780803680419922,19.807058334350586,22.99114418029785,64.62518310546875,41.10169982910156,42.992393493652344,56.759971618652344,19.328563690185547,94.09741973876953,85.77174377441406,85.71844482421875,53.96665954589844,69.55146026611328,120.7699966430664,16.299999237060547,12.512476921081543,57.671173095703125
2017-05-01,208.8235321044922,132.83978271484375,121.4445571899414,49.710357666015625,33.46978759765625,25.760547637939453,19.57135772705078,22.17778205871582,65.12165832519531,41.55350875854492,44.12990951538086,57.769554138183594,20.128631591796875,95.87383270263672,86.48086547851562,86.8612060546875,54.52327346801758,69.60246276855469,120.62000274658203,16.389999389648438,12.33493423461914,57.25323486328125
2017-06-01,210.15472412109375,129.76058959960938,125.5426025390625,49.857521057128906,33.77992630004883,25.036212921142578,20.846101760864258,22.15300941467285,68.0958251953125,41.03020477294922,43.13546371459961,58.55017852783203,19.583375930786133,96.63301086425781,86.04019165039062,87.27832794189453,54.59553527832031,69.54814147949219,118.0199966430664,15.710000038146973,12.216573715209961,58.531471252441406
